Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,CDK_Age-standardised_rate_per_100000,smoking(rate),Diabetes(rate),tuberculosis_per_100000_populaiton,Obesity(rate),Developed
Azerbaijan,Europe,233644,2304.37,1153,11.37,220,3206,31.62,19,0.19,2,Clusters of cases,10937,23.45,6.1,60,19.9,NO
Bahamas,Americas,8496,2160.49,103,26.19,19,179,45.52,0,0,0,Clusters of cases,NA,NA,NA,15,32.1,YES
Bahrain,Eastern Mediterranean,119858,7043.94,4801,282.15,653,437,25.68,27,1.59,4,Clusters of cases,10427,28.2,15.6,12,28.7,YES
Bangladesh,South-East Asia,544544,330.65,2667,1.62,428,8379,5.09,65,0.04,5,Community transmission,8300,20.25,9.2,221,3.4,NO
Barbados,Americas,2852,992.43,395,137.45,61,31,10.79,3,1.04,0,Community transmission,9135,7,13.4,0,24.8,YES
Belarus,Europe,281707,2981.24,9434,99.84,1279,1939,20.52,63,0.67,9,Community transmission,11089,28.4,5,29,26.6,YES
Belgium,Europe,760809,6564.57,12276,105.92,0,21988,189.72,154,1.33,0,Community transmission,5642,23.25,4.6,8.9,24.5,YES
Belize,Americas,12264,3084.29,76,19.11,9,314,78.97,1,0.25,0,Community transmission,9372,NA,17.1,27,22.4,NO
Benin,Africa,5634,46.47,491,4.05,0,70,0.58,5,0.04,0,Community transmission,11194,9.35,1,55,8.2,NO
Bermuda,Americas,703,1128.9,8,12.85,4,12,19.27,0,0,0,Sporadic cases,8278,NA,NA,NA,NA,YES
Bhutan,South-East Asia,867,112.36,1,0.13,0,1,0.13,0,0,0,Clusters of cases,9051,NA,10.3,165,5.8,NO
Bolivia (Plurinational State of),Americas,244380,2093.55,6674,57.17,1204,11508,98.59,234,2,38,Community transmission,7663,23.8,6.8,106,18.7,NO
Bonaire,Americas,403,1926.85,23,109.97,0,4,19.13,0,0,0,Community transmission,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,Europe,129753,3954.9,2972,90.59,577,5051,153.96,102,3.11,17,Community transmission,8273,38.6,9,27,19.4,NO
Botswana,Africa,27721,1178.8,1909,81.18,0,300,12.76,74,3.15,0,Community transmission,11502,NA,5.8,253,16.1,NO
Brazil,Americas,10257875,4825.89,335894,158.02,62715,248529,116.92,7589,3.57,1386,Community transmission,7337,15.3,10.4,46,22.3,NO
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases,NA,NA,NA,NA,NA,NA
Brunei Darussalam,Western Pacific,185,42.29,0,0,0,3,0.69,0,0,0,Sporadic cases,NA,16.2,13.3,64,14.7,YES
Bulgaria,Europe,242124,3484.58,8882,127.83,1733,10026,144.29,282,4.06,48,Clusters of cases,8000,35.3,6,21,27.4,YES
Burkina Faso,Africa,11887,56.87,215,1.03,19,142,0.68,4,0.02,1,Community transmission,11354,20.25,7.3,47,4.5,NO
Burundi,Africa,2106,17.71,178,1.5,37,3,0.03,0,0,0,Community transmission,9648,NA,5.1,107,4.4,NO
Cabo Verde,Africa,15161,2726.86,313,56.3,72,145,26.08,4,0.72,1,Community transmission,NA,NA,2.4,46,10.6,NO
Cambodia,Western Pacific,698,4.17,215,1.29,65,0,0,0,0,0,Sporadic cases,9580,23.45,6.4,287,3.5,NO
Cameroon,Africa,33749,127.13,1068,4.02,0,523,1.97,23,0.09,0,Community transmission,11370,22.35,6,179,9.5,NO
Canada,Americas,852269,2258.14,20692,54.82,2752,21762,57.66,365,0.97,39,Community transmission,6023,14.95,7.6,5.5,31.3,YES
Cayman Islands,Americas,431,655.81,12,18.26,0,2,3.04,0,0,0,Sporadic cases,NA,NA,6.8,NA,NA,NA
Central African Republic,Africa,4997,103.46,1,0.02,0,63,1.3,0,0,0,Community transmission,10648,NA,6,540,6.3,NO
Chad,Africa,3904,23.77,180,1.1,22,136,0.83,4,0.02,0,Community transmission,10861,NA,6,142,4.8,NO
Chile,Americas,807872,4226.11,23558,123.24,2555,20173,105.53,514,2.69,22,Community transmission,7129,38,8.6,18,28.8,YES
China,Western Pacific,101778,6.92,174,0.01,28,4843,0.33,1,0,1,Clusters of cases,7180,24.7,9.2,58,6.6,NO
Colombia,Americas,2233589,4389.67,30991,60.91,3926,59118,116.18,1169,2.3,144,Community transmission,9638,11.1,7.4,35,22.1,NO
Comoros,Africa,3539,406.97,126,14.49,17,144,16.56,9,1.03,0,Community transmission,9900,14.55,12.3,35,6.9,NO
Congo,Africa,8820,159.84,401,7.27,0,128,2.32,5,0.09,0,Community transmission,10938,NA,6,373,8.4,NO
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,NA,NA,NA,13,55.3,NA
Costa Rica,Americas,203097,3986.89,2643,51.88,423,2785,54.67,48,0.94,3,Community transmission,10173,13.4,9.1,10,25.7,NO
Côte d’Ivoire,Africa,32295,122.43,798,3.03,171,188,0.71,8,0.03,0,Community transmission,NA,NA,2.4,137,9,NO
Croatia,Europe,241592,5884.93,2726,66.4,544,5489,133.71,90,2.19,12,Community transmission,7779,36.45,5.4,8,27.1,YES
Cuba,Americas,46896,414.03,6131,54.13,699,308,2.72,31,0.27,4,Community transmission,7887,35.25,9.6,6.5,26.7,NO
Curaçao,Americas,4696,2861.79,41,24.99,2,22,13.41,0,0,0,Community transmission,NA,NA,NA,NA,NA,YES
